2;3;4;Name;DAD;GP;TF;EA;IDD;EV;VC;DFM;CP;distanciaRequerida;distanciaPredict;residuos
2;3;4;60;5200;1;1;70;4;15;5;0;0;5930.068;5922.520969;4.687389151
2;3;4;61;5000;0.6;3;70;4;15;5;0;0;5968.07;5957.850212;4.687389151
2;3;4;62;5200;0.6;3;70;4;15;5;0;0;6150.7928;6139.725583;4.687389151
2;3;4;63;5000;1;3;70;4;15;5;0;0;6140.45;6129.392463;-7.12000573
2;3;4;64;5200;1;3;70;4;15;5;0;0;6330.068;6319.509386;-16.94321893
2;3;4;65;5000;0.6;1;50;2;5;15;0;0;4799.87;4798.194194;7.296287282
2;3;4;66;5200;0.6;1;50;2;5;15;0;0;4983.8648;4981.602085;7.296287282
2;3;4;67;5000;1;1;50;2;5;15;0;0;4973.45;4971.183825;7.296287282
2;3;4;68;5200;1;1;50;2;5;15;0;0;5164.388;5162.833268;6.873792486
2;3;4;69;5000;0.6;3;50;2;5;15;0;0;5199.87;5195.182611;6.873792486
2;3;4;70;5200;0.6;3;50;2;5;15;0;0;5383.8648;5378.590502;6.873792486
2;3;4;71;5000;1;3;50;2;5;15;0;0;5373.45;5368.172242;4.535447838
2;3;4;72;5200;1;3;50;2;5;15;0;0;5564.388;5559.821685;4.535447838
2;3;4;73;5000;0.6;1;70;2;5;15;0;0;5199.87;5195.182611;4.535447838
2;3;4;74;5200;0.6;1;70;2;5;15;0;0;5383.8648;5378.590502;8.559339753
2;3;4;75;5000;1;1;70;2;5;15;0;0;5373.45;5368.172242;8.559339753
2;3;4;76;5200;1;1;70;2;5;15;0;0;5564.388;5559.821685;8.559339753
2;3;4;77;5000;0.6;3;70;2;5;15;0;0;5599.87;5592.171028;5.034370633
2;3;4;78;5200;0.6;3;70;2;5;15;0;0;5783.8648;5775.578919;5.034370633
2;3;4;79;5000;1;3;70;2;5;15;0;0;5773.45;5765.160659;5.034370633
2;3;4;80;5200;1;3;70;2;5;15;0;0;5964.388;5956.810102;4.566314826
2;3;4;81;5000;0.6;1;50;4;5;15;0;0;5199.87;5195.182611;4.566314826
2;3;4;82;5200;0.6;1;50;4;5;15;0;0;5383.8648;5378.590502;4.566314826
2;3;4;83;5000;1;1;50;4;5;15;0;0;5373.45;5368.172242;-0.182813259
2;3;4;84;5200;1;1;50;4;5;15;0;0;5564.388;5559.821685;8.283232958
2;3;4;85;5000;0.6;3;50;4;5;15;0;0;5599.87;5592.171028;8.283232958
2;3;4;86;5200;0.6;3;50;4;5;15;0;0;5783.8648;5775.578919;8.283232958
2;3;4;87;5000;1;3;50;4;5;15;0;0;5773.45;5765.160659;5.277757622
2;3;4;88;5200;1;3;50;4;5;15;0;0;5964.388;5956.810102;5.277757622
2;3;4;89;5000;0.6;1;70;4;5;15;0;0;5599.87;5592.171028;5.277757622
2;3;4;90;5200;0.6;1;70;4;5;15;0;0;5783.8648;5775.578919;-7.598874463
2;3;4;91;5000;1;1;70;4;5;15;0;0;5773.45;5765.160659;5.765323645
2;3;4;92;5200;1;1;70;4;5;15;0;0;5964.388;5956.810102;8.569940849
2;3;4;93;5000;0.6;3;70;4;5;15;0;0;5999.87;5989.159445;7.614287282
2;3;4;94;5200;0.6;3;70;4;5;15;0;0;6183.8648;6172.567336;7.614287282
2;3;4;95;5000;1;3;70;4;5;15;0;0;6173.45;6162.149076;7.614287282
2;3;4;96;5200;1;3;70;4;5;15;0;0;6364.388;6353.798519;5.501536656
2;3;4;97;5000;0.6;1;50;2;15;15;0;0;5636.21;5637.944079;8.375873861
2;3;4;98;5200;0.6;1;50;2;15;15;0;0;5853.6584;5858.438954;8.055634378
2;3;4;99;5000;1;1;50;2;15;15;0;0;5841.35;5845.960306;8.055634378
2;3;4;100;5200;1;1;50;2;15;15;0;0;6067.004;6074.696733;8.055634378
2;3;4;101;5000;0.6;3;50;2;15;15;0;0;6036.21;6034.932496;8.578452486
2;3;4;102;5200;0.6;3;50;2;15;15;0;0;6253.6584;6255.427371;8.578452486
2;3;4;103;5000;1;3;50;2;15;15;0;0;6241.35;6242.948723;8.578452486
2;3;4;104;5200;1;3;50;2;15;15;0;0;6467.004;6471.68515;3.928236741
2;3;4;105;5000;0.6;1;70;2;15;15;0;0;6036.21;6034.932496;3.928236741
